,ID,Catchment Name,Area (m2),Length,Slope (Gradient),Order,Proportional coefficient (K),Exponential Coefficient (P),River System,Source_river,Target_river,f1,fsa,rsa,slope,K
186,94,46,10903088.15,23758.8351,0,46,125,1,Tarawera,46,45,0.3,0.75,100,16.26405116,0
185,92,45,20072832,43781.46468,0.00044,45,125,1,Tarawera,45,44,0.3,0.75,100,0.685267442,0
184,90,44,81644460.69,78168.26321,0.00044,44,125,1,Tarawera,44,43,0.3,0.75,100,0.362968818,0
183,95,43,32665352.63,41196.00361,0.0017656,43,125,1,Tarawera,43,42,0.3,0.75,100,11.26049044,0
182,82,42,1031731.232,7883.981547,0.000139166,42,125,1,Tarawera,42,41,0.3,0.75,100,0.458924907,0
181,9,41,19763922.89,32752.2518,0.000536604,41,50,0.66,Tarawera,41,40,0.3,0.75,100,14.57486647,0
180,7,40,7089510.774,15488.95269,0.000486086,40,125,0.66,Tarawera,40,39,0.3,0.75,100,9.587399354,0
179,8,39,1004331.986,8458.720212,0.00044,39,125,1,Tarawera,39,38,0.3,0.75,100,2.749705664,0
178,87,38,49750178.3,47198.48597,0.000440116,38,125,1,Tarawera,38,37,0.3,0.75,100,13.90571692,0
177,86,37,943360,9280,0.00044,37,125,1,Tarawera,37,36,0.3,0.75,100,1.633384934,0
176,85,36,3745102.286,24011.27463,0.000724716,36,125,1,Tarawera,36,35,0.3,0.75,100,0.980285818,0
175,84,35,1196907.636,6299.692587,0.000608297,35,125,1,Tarawera,35,34,0.3,0.75,100,1.849128497,0
174,12,34,1463444.861,6676.345898,0.00097788,34,125,1,Tarawera,34,33,0.3,0.75,100,1.599661038,0
173,15,33,13158008.94,26528.17266,0.000826088,33,125,1,Tarawera,33,32,0.3,0.75,100,10.38997755,0
172,16,32,2831596.013,9429.813967,0.000811494,32,125,1,Tarawera,32,31,0.3,0.75,100,9.638358037,0
171,23,31,51248397.5,51784.38658,0.000733812,31,125,1,Tarawera,31,30,0.3,0.75,100,14.10544234,0
170,24,30,957892.7652,6366.55397,0.002277634,30,125,1,Tarawera,30,29,0.15,0.25,100,14.09053721,0
169,73,29,32712973.33,41995.09852,0.000643989,29,125,1,Tarawera,29,28,0.15,0.25,100,14.18619257,0
168,25,28,1134176.251,6157.507047,0.00137143,28,125,1,Tarawera,28,27,0.15,0.25,100,12.72745898,0
167,26,27,10803350,27824.66006,0.001912008,27,125,1,Tarawera,27,26,0.15,0.25,100,18.9164397,0
166,27,26,1989675.965,7907.561308,0.001979191,26,125,1,Tarawera,26,25,0.15,0.25,100,11.26318443,0
165,75,25,27426889.39,39132.53025,0.003668009,25,125,1,Tarawera,25,24,0.15,0.25,100,16.12613185,0
164,34,24,4247817.847,12596.18176,0.002251958,24,125,1,Tarawera,24,23,0.15,0.25,100,11.46121183,0
163,36,23,4570459.026,20531.58632,0.001096245,23,125,1,Tarawera,23,22,0.15,0.25,100,13.95003326,0
162,80,22,52623829.84,62526.77618,0.0022085,22,125,1,Tarawera,22,21,0.15,0.25,100,17.00844377,0
161,53,21,118015071.9,69914.8572,0.005472742,21,125,0.2,Tarawera,21,20,0.15,0.25,100,13.09778043,0
160,46,20,1090851.782,7206.318914,0.004515744,20,125,1,Tarawera,20,19,0.15,0.25,100,2.70320697,0
159,37,19,419963.3016,3594.528679,0.005907095,19,125,1,Tarawera,19,18,0.15,0.25,100,9.899453647,0
158,40,18,3557481.025,9347.849856,0.006452678,18,125,1,Tarawera,18,17,0.15,0.25,100,20.02015999,0
157,59,17,6261877.932,18369.11141,0.004615826,17,125,1,Tarawera,17,16,0.15,0.25,100,10.2207284,0
156,44,16,1388763.439,7429.442062,0.007750899,16,125,1,Tarawera,16,15,0.15,0.25,100,20.00102256,0
155,45,15,2719995.382,11422.15629,0.005084203,15,125,1,Tarawera,15,14,0.15,0.25,100,13.23728442,0
154,31,14,630149.4917,4844.705921,0.005595932,14,125,1,Tarawera,14,13,0.15,0.25,100,22.19928712,0
153,35,13,34621409.18,38957.17363,0.008059439,13,125,0.1,Tarawera,13,12,0.15,0.25,100,16.44893078,0
152,48,12,18896072.92,27794.92997,0.00671856,12,125,0.1,Tarawera,12,11,0.15,0.25,100,12.82906942,0
151,51,11,601917.2692,4381.291248,0.007272725,11,125,1,Tarawera,11,10,0.15,0.25,100,8.275049951,0
150,64,10,3479874.366,15429.54753,0.016327639,10,125,1,Tarawera,10,9,0.15,0.25,100,18.79468024,0
149,89,9,2072398.473,9825.417765,0.00044,9,125,0.1,Tarawera,9,8,0.15,0.25,100,9.604657768,0
148,42,8,2083949.087,9670.537239,0.000286973,8,125,1,Tarawera,8,7,0.15,0.25,100,10.28610389,0
147,49,7,1750158.815,10265.80108,0.00661033,7,125,1,Tarawera,7,6,0.3,0.95,100,12.52645125,0
146,56,6,1310446.999,6878.801025,0.006419188,6,125,1,Tarawera,6,5,0.3,0.95,100,18.75715614,0
145,63,5,2659904.734,12513.02276,0.001747397,5,125,1,Tarawera,5,4,0.3,0.95,100,12.5461492,0
144,67,4,5837671.331,24524.78831,0.082074164,4,125,1,Tarawera,4,3,0.3,0.95,100,12.54188133,0
143,68,3,232754.1926,2785.867135,0.016490924,3,125,1,Tarawera,3,2,0.3,0.95,100,15.24766168,0
142,69,2,943583.9408,5679.380405,0.0033477,2,125,1,Tarawera,2,1,0.3,0.95,100,13.01136249,0
141,79,1,267361517.8,109111.9175,0.000443644,1,20,0.2,Tarawera,1,0,0.3,0.95,100,7.787079059,0
140,141,6564_1,4644000,5481,0.00334,63,27.18,1,Rangitaki,63,60,0.4,0.7,93,0.00334,27.18
139,140,6562_1,781000,1727,0.00338,103,16.131,1,Rangitaki,103,101,0.4,0.7,98,0.00338,16.131
138,139,6561_1,1011043000,97641,0.00597,1,246.539,1,Rangitaki,1,0,0.15,0.2,122,0.00597,246.539
137,138,6559_2,636000,1831,0.04252,104,8.906,1,Rangitaki,104,103,0.4,0.7,106,0.04252,8.906
136,137,6559_1,494000,1741,0.07241,104,9.099,1,Rangitaki,104,103,0.4,0.7,128,0.07241,9.099
135,136,6557_1,11951000,7946,0.02375,149,72.024,1,Rangitaki,149,148,0.15,0.25,127,0.02375,72.024
